User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,gender
1004030,P00121642,M,36-45,7,Unknown,3,1,,14.0,,Q
1002402,P00288742,,46-50,{error},Unknown,4+,0,99999.0,,,n
1004002,P00184042,M,46-50,16,Unknown,0,1,,8.0,,T
1003841,P00267542,,46-50,{error},Unknown,4+,0,99999.0,16.0,,L
1003394,P00226342,M,36-45,7,Unknown,4+,0,,15.0,,n
1000743,P00113442,,999,{error},Unknown,2,0,99999.0,5.0,abc,L
1005087,P00303442,F,26-35,6,Unknown,1,1,,8.0,14.0,n
1001003,P00106042,M,26-35,2,Unknown,0,0,,,,n
1004774,P00110842,M,46-50,14,Unknown,4+,1,,2.0,5.0,T
1004964,P00286642,M,36-45,0,Unknown,1,1,,14.0,,L
1003423,P00150342,,26-35,{error},Unknown,2,0,99999.0,14.0,,n
1005801,P00046742,M,999,16,Unknown,3,0,,2.0,15.0,L
1004837,P00045842,M,999,5,Unknown,2,0,,14.0,,T
1005220,P00120342,M,26-35,7,Unknown,4+,0,,17.0,,L
1005558,P00325742,M,0-17,10,Unknown,2,0,,9.0,,n
1002966,P00112442,,26-35,{error},Unknown,2,0,99999.0,8.0,abc,L
1001725,P00250642,M,18-25,19,Unknown,4+,1,,,,T
1002035,P00254242,,18-25,{error},Unknown,1,0,99999.0,11.0,12.0,n
1001776,P00155742,M,26-35,0,Unknown,4+,1,,,,Q
1004458,P00090842,F,999,4,Unknown,1,0,,15.0,,L
1005759,P00121642,F,26-35,1,Unknown,2,0,,14.0,,n
1005620,P00147742,,36-45,{error},Unknown,2,1,99999.0,16.0,,T
1005890,P00232642,M,36-45,20,Unknown,3,0,,,,L
1000556,P00030942,F,26-35,9,Unknown,4+,0,,5.0,9.0,L
1004519,P00112542,M,51-55,7,Unknown,0,0,,11.0,15.0,L
1004686,P00085242,M,999,1,Unknown,2,0,,14.0,17.0,L
1000117,P00223542,,26-35,{error},Unknown,2,1,99999.0,8.0,abc,Q
1002165,P00028842,M,26-35,7,Unknown,4+,1,,8.0,,L
1004161,P00338342,,46-50,{error},Unknown,3,1,99999.0,,abc,Q
1002096,P00057642,F,999,17,Unknown,1,1,,15.0,16.0,T
1003389,P00121342,,18-25,{error},Unknown,0,0,99999.0,5.0,18.0,n
1004990,P00110142,F,26-35,4,Unknown,2,1,,,,Q
1000579,P00331942,M,26-35,5,Unknown,2,0,,,,L
1000563,P00185342,M,26-35,4,Unknown,3,0,,4.0,,L
1001297,P00029242,M,999,7,Unknown,4+,0,,,,Q
1002073,P00175642,F,18-25,4,Unknown,4+,0,,,,n
1005100,P00329242,,51-55,{error},Unknown,1,1,99999.0,14.0,,n
1003567,P00110742,M,26-35,14,Unknown,1,1,,2.0,8.0,L
1000204,P00324742,M,26-35,7,Unknown,1,1,,9.0,14.0,T
1002200,P00122542,M,36-45,1,Unknown,3,0,,,,Q
1004673,P00284842,M,36-45,16,Unknown,2,1,,8.0,17.0,L
1002909,P00181342,M,26-35,7,A,1,0,11.0,,,n
1005812,P00324942,F,26-35,7,A,1,1,5.0,,,n
1005178,P00189042,M,51-55,0,C,1,1,8.0,,,n
1003766,P00137242,F,18-25,1,B,1,0,,,,n
1004171,P00041642,M,55+,16,C,2,1,,,,n
1006035,P00031642,F,26-35,1,C,3,0,5.0,,,n
1002402,P00288742,,46-50,{error},Unknown,4+,0,99999.0,,,n
1005488,P00016642,M,26-35,15,C,1,0,5.0,,,n
1002907,P00178442,F,999,5,A,4+,0,,,,Q
1001613,P00029742,M,18-25,20,A,1,0,5.0,,,n
1004637,P00050142,,36-45,{error},B,0,1,99999.0,,,T
1003771,P00053142,M,26-35,1,B,0,0,1.0,,,n
1004354,P00116342,M,36-45,14,B,2,0,2.0,,,n
1001516,P00173242,F,26-35,12,B,1,0,5.0,,,n
1001003,P00106042,M,26-35,2,Unknown,0,0,,,,n
1005599,P00334542,M,36-45,7,A,1,0,8.0,,,n
1000651,P00138842,M,36-45,7,B,2,0,,,,n
1002205,P00150142,F,999,7,A,3,1,,,,Q
1000509,P00165842,M,26-35,2,A,0,1,,,,T
1001369,P00042842,M,26-35,5,B,1,1,5.0,,,n
1000284,P00037442,M,26-35,12,B,3,1,,,,T
1002784,P00298242,M,51-55,20,C,2,1,,,,n
1001725,P00250642,M,18-25,19,Unknown,4+,1,,,,T
1004715,P00354942,M,26-35,2,B,3,0,8.0,,,L
1001776,P00155742,M,26-35,0,Unknown,4+,1,,,,Q
1001437,P00003642,M,51-55,3,C,4+,0,8.0,,,n
1002340,P00278042,M,36-45,2,A,2,0,1.0,,,n
1005890,P00232642,M,36-45,20,Unknown,3,0,,,,L
1005504,P00148342,M,46-50,7,B,1,1,,,,n
1002303,P00180342,M,999,17,B,4+,1,,,,Q
1004386,P00102442,M,26-35,5,B,1,0,8.0,,,n
1004579,P00339942,F,18-25,4,B,1,1,1.0,,,n
1005329,P00111842,F,26-35,5,B,1,0,8.0,,,T
1005433,P00189242,F,36-45,17,B,3,1,,,,Q
1001592,P0097142,M,36-45,7,B,4+,1,,,,T
1002680,P00274942,M,26-35,12,C,1,1,,,,Q
1000690,P00270842,M,26-35,12,C,3,0,5.0,,,T
1003391,P00041542,M,999,4,A,0,0,,,,Q
1004161,P00338342,,46-50,{error},Unknown,3,1,99999.0,,abc,Q
1002021,P00018342,M,26-35,0,C,1,0,11.0,,,n
1003720,P00026542,M,46-50,7,C,1,0,8.0,,,n
1004434,P00340942,,999,{error},A,1,0,99999.0,,abc,Q
1001928,P00212942,M,0-17,10,B,1,0,5.0,,,L
1002464,P00324942,F,18-25,4,C,4+,0,5.0,,,L
1004990,P00110142,F,26-35,4,Unknown,2,1,,,,Q
1000579,P00331942,M,26-35,5,Unknown,2,0,,,,L
1001297,P00029242,M,999,7,Unknown,4+,0,,,,Q
1002073,P00175642,F,18-25,4,Unknown,4+,0,,,,n
1005269,P00258442,M,18-25,0,B,4+,0,,,,n
1002496,P00177242,M,51-55,1,B,1,0,,,,n
1001128,P00315842,M,26-35,1,A,2,0,5.0,,,T
1004656,P00356742,,999,{error},B,4+,0,99999.0,,abc,Q
1004007,P00299542,M,36-45,12,A,1,1,8.0,,,n
1004869,P00336942,F,46-50,6,C,3,1,,,,n
1003371,P00279542,M,26-35,2,A,3,0,8.0,,,n
1002200,P00122542,M,36-45,1,Unknown,3,0,,,,Q
1005974,P00304742,F,26-35,1,C,0,1,,,,Q
1000897,P00250642,,999,{error},B,4+,0,99999.0,,abc,Q
1000605,P00031042,F,18-25,4,C,0,0,8.0,,,n
1002909,P00181342,M,26-35,7,A,1,0,11.0,,,n
1003026,P00322042,F,18-25,4,B,1,0,5.0,8.0,,n
1005812,P00324942,F,26-35,7,A,1,1,5.0,,,n
1003118,P00111242,M,26-35,0,B,1,0,,18.0,,n
1005178,P00189042,M,51-55,0,C,1,1,8.0,,,n
1003766,P00137242,F,18-25,1,B,1,0,,,,n
1004030,P00121642,M,36-45,7,Unknown,3,1,,14.0,,Q
1004171,P00041642,M,55+,16,C,2,1,,,,n
1002526,P00334242,M,55+,13,B,4+,1,1.0,8.0,,T
1006035,P00031642,F,26-35,1,C,3,0,5.0,,,n
1002623,P00161942,M,55+,1,C,2,1,5.0,8.0,,n
1000216,P00084042,M,999,13,B,1,0,,14.0,,Q
1000648,P00332342,F,26-35,12,B,1,1,5.0,8.0,,n
1002402,P00288742,,46-50,{error},Unknown,4+,0,99999.0,,,n
1005488,P00016642,M,26-35,15,C,1,0,5.0,,,n
1004002,P00184042,M,46-50,16,Unknown,0,1,,8.0,,T
1002907,P00178442,F,999,5,A,4+,0,,,,Q
1003196,P00003242,F,18-25,4,C,4+,0,8.0,15.0,,n
1004344,P00331342,M,26-35,1,A,4+,0,8.0,16.0,,T
1001613,P00029742,M,18-25,20,A,1,0,5.0,,,n
1003841,P00267542,,46-50,{error},Unknown,4+,0,99999.0,16.0,,L
1000690,P00332242,M,26-35,12,C,3,0,1.0,16.0,,n
1004637,P00050142,,36-45,{error},B,0,1,99999.0,,,T
1003394,P00226342,M,36-45,7,Unknown,4+,0,,15.0,,n
1003771,P00053142,M,26-35,1,B,0,0,1.0,,,n
1005369,P00004742,M,26-35,15,A,1,0,6.0,16.0,,n
1004265,P00233542,M,26-35,12,C,1,0,1.0,15.0,,n
1004354,P00116342,M,36-45,14,B,2,0,2.0,,,n
1001516,P00173242,F,26-35,12,B,1,0,5.0,,,n
1004373,P00065342,M,51-55,12,C,1,1,2.0,15.0,,n
1001003,P00106042,M,26-35,2,Unknown,0,0,,,,n
1005599,P00334542,M,36-45,7,A,1,0,8.0,,,n
1002114,P00101842,M,999,18,C,0,0,,16.0,,Q
1004626,P00161442,M,999,14,B,4+,0,,14.0,,Q
1004964,P00286642,M,36-45,0,Unknown,1,1,,14.0,,L
1000651,P00138842,M,36-45,7,B,2,0,,,,n
1005054,P00045842,M,36-45,2,B,0,0,5.0,14.0,,n
1003423,P00150342,,26-35,{error},Unknown,2,0,99999.0,14.0,,n
1002857,P00228642,M,26-35,0,B,2,0,,18.0,,n
1002205,P00150142,F,999,7,A,3,1,,,,Q
1004837,P00045842,M,999,5,Unknown,2,0,,14.0,,T
1005220,P00120342,M,26-35,7,Unknown,4+,0,,17.0,,L
1000509,P00165842,M,26-35,2,A,0,1,,,,T
1005558,P00325742,M,0-17,10,Unknown,2,0,,9.0,,n
1001527,P00225142,M,18-25,10,C,1,1,,14.0,,n
1005172,P00005742,F,36-45,11,B,1,0,8.0,14.0,,n
1004748,P00247042,M,46-50,16,B,3,0,5.0,14.0,,n
1001465,P00117242,M,51-55,16,B,4+,1,,17.0,,n
1001794,P00319542,M,26-35,11,B,1,0,8.0,14.0,,n
1003129,P00321042,M,26-35,7,B,2,0,1.0,17.0,,n
1001137,P00366342,M,18-25,4,B,4+,0,5.0,14.0,,n
1001369,P00042842,M,26-35,5,B,1,1,5.0,,,n
1000284,P00037442,M,26-35,12,B,3,1,,,,T
1002496,P00129042,M,999,1,B,1,0,,11.0,,Q
1002784,P00298242,M,51-55,20,C,2,1,,,,n
1001725,P00250642,M,18-25,19,Unknown,4+,1,,,,T
1004715,P00354942,M,26-35,2,B,3,0,8.0,,,L
1004508,P00320542,M,26-35,20,A,2,0,8.0,14.0,,n
1001342,P00112442,M,36-45,0,C,4+,0,,8.0,,T
1001842,P00144242,M,999,4,B,1,0,,14.0,,Q
1001700,P00366342,M,26-35,20,B,4+,0,,14.0,,T
1001168,P00354342,F,26-35,0,A,1,1,,11.0,,n
1002796,P00334242,M,999,14,B,3,0,,8.0,,Q
1005770,P00189642,M,26-35,0,C,3,1,8.0,13.0,,n
1002105,P00273742,M,26-35,1,A,0,1,1.0,17.0,,n
1001776,P00155742,M,26-35,0,Unknown,4+,1,,,,Q
1004403,P00004142,M,26-35,15,C,4+,0,8.0,17.0,,n
1004458,P00090842,F,999,4,Unknown,1,0,,15.0,,L
1001387,P00200442,F,51-55,13,B,1,1,13.0,16.0,,n
1005759,P00121642,F,26-35,1,Unknown,2,0,,14.0,,n
1003650,P00226142,M,26-35,0,A,2,0,8.0,9.0,,n
1005620,P00147742,,36-45,{error},Unknown,2,1,99999.0,16.0,,T
1003792,P00316742,M,26-35,6,A,1,0,,5.0,,n
1001437,P00003642,M,51-55,3,C,4+,0,8.0,,,n
1002340,P00278042,M,36-45,2,A,2,0,1.0,,,n
1005249,P00018042,F,46-50,14,B,1,1,15.0,16.0,,n
1005890,P00232642,M,36-45,20,Unknown,3,0,,,,L
1000450,P00044442,M,46-50,1,C,1,1,1.0,16.0,,n
