User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3
1003512,P00339842,M,18-25,17,A,2,0,,14.0,15.0
1003515,P00334042,M,36-45,3,C,0,0,1.0,11.0,15.0
1003516,P00063342,M,18-25,4,C,0,0,1.0,2.0,9.0
1003521,P00253142,M,26-35,0,B,3,0,,2.0,5.0
1003526,P00187442,M,36-45,2,B,1,1,,4.0,5.0
1003526,P00242742,M,36-45,2,B,1,1,1.0,2.0,9.0
1003526,P00105342,M,36-45,2,B,1,1,,2.0,15.0
1003540,P00142142,M,18-25,17,B,2,1,1.0,2.0,15.0
1003549,P00112142,F,36-45,7,C,4+,0,1.0,2.0,14.0
1003555,P00046742,M,55+,7,C,1,0,1.0,2.0,15.0
1003558,P00157642,M,18-25,17,A,3,0,1.0,14.0,16.0
1003576,P00196042,M,51-55,7,B,3,1,,9.0,15.0
1003578,P00090942,M,51-55,3,C,0,1,1.0,2.0,14.0
1003579,P00242742,M,18-25,0,C,2,0,1.0,2.0,9.0
1003584,P00081142,M,18-25,0,C,4+,1,,8.0,14.0
1003588,P00073842,M,26-35,2,B,4+,0,1.0,15.0,17.0
1003598,P00112142,M,55+,1,A,2,0,,2.0,14.0
1003600,P00116142,M,36-45,20,B,4+,1,10.0,13.0,16.0
1003603,P00173842,F,36-45,7,B,0,1,,2.0,15.0
1003615,P00110742,M,26-35,17,C,2,0,1.0,2.0,8.0
1003618,P00085242,M,55+,17,A,4+,1,,14.0,17.0
1003623,P00116142,M,36-45,11,C,1,0,,13.0,16.0
1003624,P00035842,M,26-35,12,B,0,1,5.0,6.0,9.0
1003626,P00173842,M,26-35,17,B,3,0,1.0,2.0,15.0
1003630,P00157642,M,18-25,4,B,2,0,,14.0,16.0
1003630,P00194642,M,18-25,4,B,2,0,1.0,6.0,13.0
1003650,P00196142,M,26-35,0,A,2,0,3.0,4.0,5.0
1003659,P00173342,M,18-25,4,C,1,0,1.0,6.0,14.0
1003664,P00198142,F,36-45,1,A,0,0,2.0,4.0,9.0
1003669,P00277442,M,26-35,14,A,2,0,,6.0,15.0
1003670,P00254242,M,46-50,14,C,2,0,5.0,11.0,12.0
1003681,P00256042,M,26-35,7,B,3,0,6.0,8.0,16.0
1003685,P00048042,M,26-35,5,C,1,1,1.0,6.0,8.0
1003693,P00192042,M,26-35,15,B,1,1,,9.0,14.0
1003693,P00163442,M,26-35,15,B,1,1,6.0,8.0,13.0
1003705,P00138442,M,46-50,7,B,1,1,,2.0,16.0
1003706,P0096442,M,26-35,12,C,3,1,4.0,5.0,12.0
1003721,P00304342,M,26-35,15,C,2,1,,5.0,6.0
1003721,P00113142,M,26-35,15,C,2,1,1.0,5.0,12.0
1003737,P00128342,M,26-35,14,C,3,0,,12.0,14.0
1003753,P00010742,M,26-35,7,C,0,1,,8.0,17.0
1003757,P00006942,M,26-35,7,B,1,0,1.0,5.0,6.0
1003759,P00074642,M,36-45,6,C,2,0,5.0,9.0,14.0
1003763,P00057942,M,26-35,2,A,1,0,1.0,2.0,6.0
1003769,P00158542,M,26-35,15,B,0,0,5.0,6.0,13.0
