User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,gender
1001015,P00191442,M,36-45,3,A,4+,1,1.0,2.0,15.0,n
1002962,P00129342,M,36-45,3,A,2,0,,5.0,15.0,n
1002299,P00183342,F,18-25,10,B,4+,0,5.0,15.0,18.0,n
1004447,P00079742,M,46-50,5,B,0,1,1.0,2.0,15.0,n
1003677,P00057442,F,26-35,12,C,1,0,5.0,14.0,16.0,n
1004725,P00159742,M,36-45,5,A,2,0,,4.0,9.0,n
1001921,P00295942,M,55+,12,C,2,0,,5.0,15.0,Q
1001606,P00157642,F,36-45,3,A,4+,0,1.0,14.0,16.0,n
1005020,P00025442,F,55+,13,C,2,1,1.0,2.0,9.0,T
1003475,P00025442,M,26-35,14,A,1,0,,2.0,9.0,Q
1003746,P00128242,M,26-35,5,B,0,1,5.0,12.0,14.0,L
1003310,P00209742,M,46-50,14,C,0,1,1.0,11.0,15.0,n
1000195,P00223042,M,26-35,12,B,4+,1,1.0,2.0,8.0,n
1000467,P00216342,F,36-45,3,B,4+,1,,4.0,5.0,n
